infohref,infotext
https://www.ptt.cc/bbs/KoreaDrama/M.1520198143.A.417.html,[心得] 花遊記結局
https://www.ptt.cc/bbs/KoreaDrama/M.1520201471.A.E07.html,[心得] 和遊記 EP20 
https://www.ptt.cc/bbs/KoreaDrama/M.1520221717.A.864.html,[心得] 花遊記結局感想
https://www.ptt.cc/bbs/KoreaDrama/M.1520230681.A.871.html,[心得] 棄劇2次的機智牢房生活
https://www.ptt.cc/bbs/KoreaDrama/M.1520236296.A.F5F.html,[問卷] (已額滿)和遊記/花遊記 觀後感調查問卷 
https://www.ptt.cc/bbs/KoreaDrama/M.1520245214.A.0F3.html,[心得] 雷 七日的王妃棄劇
https://www.ptt.cc/bbs/KoreaDrama/M.1520247615.A.0B4.html,[LIVE] 那個男人 歐樹 EP01
https://www.ptt.cc/bbs/KoreaDrama/M.1520249541.A.DCA.html,[LIVE] Cross EP11
https://www.ptt.cc/bbs/KoreaDrama/M.1520251360.A.268.html,[LIVE] Radio Romance EP11
https://www.ptt.cc/bbs/KoreaDrama/M.1520253019.A.A2E.html,[新聞] 《經常請吃飯的漂亮姐姐》丁海寅搶先來台
https://www.ptt.cc/bbs/KoreaDrama/M.1520255251.A.FEA.html,[LIVE] 加油吧！威基基EP9
https://www.ptt.cc/bbs/KoreaDrama/M.1520255287.A.F8C.html,[新聞] 李昇基 沈恩敬 延宇振《宮合》4/20 上映
https://www.ptt.cc/bbs/KoreaDrama/M.1520259606.A.E9A.html,[心得] 和遊記拍第二部可能性(雷)
https://www.ptt.cc/bbs/KoreaDrama/M.1520260596.A.F44.html,[閒聊] 和遊記同人創作
https://www.ptt.cc/bbs/KoreaDrama/M.1520262291.A.E23.html,[情報] 韓國翻拍美劇《情婦》韓佳人崔嬉序等出演
https://www.ptt.cc/bbs/KoreaDrama/M.1520262398.A.7F9.html,[情報] 李東健出演《Sketch》 與Rain首次合作
https://www.ptt.cc/bbs/KoreaDrama/M.1520262681.A.985.html,[新聞]《和遊記》4日終演 李昇基吳漣序等表感想
https://www.ptt.cc/bbs/KoreaDrama/M.1520262872.A.43A.html,[新聞] 《善良魔女傳》首播創下11.7％高收視！
https://www.ptt.cc/bbs/KoreaDrama/M.1520267755.A.475.html,[心得] 和遊記 EP20.大結局  愛的失憶與記憶
https://www.ptt.cc/bbs/KoreaDrama/M.1520083367.A.376.html,[LIVE] JTBC Misty EP10
https://www.ptt.cc/bbs/KoreaDrama/M.1520086299.A.166.html,[問題] 信號 最後一集最後一幕不一樣 有雷
https://www.ptt.cc/bbs/KoreaDrama/M.1520089729.A.A43.html,[情報] 和遊記 EP.20 影片&文字預告
https://www.ptt.cc/bbs/KoreaDrama/M.1520094095.A.512.html,[心得] 和遊記新奇吐血的19集
https://www.ptt.cc/bbs/KoreaDrama/M.1520094705.A.EAD.html,[心得] 理判事判．老天許我一個和史以賢吧！
https://www.ptt.cc/bbs/KoreaDrama/M.1520104471.A.EDF.html,[閒聊] Signal感覺有點拖到爛尾
https://www.ptt.cc/bbs/KoreaDrama/M.1520105370.A.E4F.html,[心得] MISTY9集心得 有一種愛情叫江太昱高惠蘭
